company_id,company,pathway_id,name,category,unit,baseline,target,owner,frequency,dataSource
northforge,Northforge Components Ltd,northforge-pathway-1,"Product carbon estimate, defect rate, unit cost and lead time",learning,mixed evidence set,Current baseline to be confirmed before launch,At least 25 percent embodied-carbon reduction with less than 5 percent cost increase and no quality failure,Head of Engineering,"baseline, midpoint and final review","Operational data, stakeholder feedback and prototype evidence log"
northforge,Northforge Components Ltd,northforge-pathway-1,Human outcome protected,outcome,guardrail status,No explicit guardrail tested,No material harm to affected stakeholders,Head of Engineering,weekly during prototype,Participant feedback and issue log
lumathread,LumaThread Apparel,lumathread-pathway-1,"Traceable source percentage, decision time, material cost, estimated impact and user confidence",learning,mixed evidence set,Current baseline to be confirmed before launch,Improved traceability and sourcing confidence without collection delay,Head of Buying,"baseline, midpoint and final review","Operational data, stakeholder feedback and prototype evidence log"
lumathread,LumaThread Apparel,lumathread-pathway-1,Human outcome protected,outcome,guardrail status,No explicit guardrail tested,No material harm to affected stakeholders,Head of Buying,weekly during prototype,Participant feedback and issue log
evergreen,Evergreen Bank,evergreen-pathway-1,"Completion rate, decision time, evidence quality, approval outcomes, fairness concerns and user confidence",learning,mixed evidence set,Current baseline to be confirmed before launch,Improved sustainability evidence with no adverse fairness pattern,Head of Credit Risk,"baseline, midpoint and final review","Operational data, stakeholder feedback and prototype evidence log"
evergreen,Evergreen Bank,evergreen-pathway-1,Human outcome protected,outcome,guardrail status,No explicit guardrail tested,No material harm to affected stakeholders,Head of Credit Risk,weekly during prototype,Participant feedback and issue log
civiccare,CivicCare Health Trust,civiccare-pathway-1,"Gas use, clinical outcomes, clinician acceptance, cost and emissions estimate",learning,mixed evidence set,Current baseline to be confirmed before launch,Reduced high-impact gas use with no patient safety issue,Clinical Sustainability Lead,"baseline, midpoint and final review","Operational data, stakeholder feedback and prototype evidence log"
civiccare,CivicCare Health Trust,civiccare-pathway-1,Human outcome protected,outcome,guardrail status,No explicit guardrail tested,No material harm to affected stakeholders,Clinical Sustainability Lead,weekly during prototype,Participant feedback and issue log
terrabite,TerraBite Foods,terrabite-pathway-1,"Fertiliser use, yield, soil indicators, farmer cost, farmer income and water use",learning,mixed evidence set,Current baseline to be confirmed before launch,Improved resilience indicators without reducing farmer income,Agricultural Supply Lead,"baseline, midpoint and final review","Operational data, stakeholder feedback and prototype evidence log"
terrabite,TerraBite Foods,terrabite-pathway-1,Human outcome protected,outcome,guardrail status,No explicit guardrail tested,No material harm to affected stakeholders,Agricultural Supply Lead,weekly during prototype,Participant feedback and issue log
urbanrise,UrbanRise Developments,urbanrise-pathway-1,"Embodied-carbon estimate, design changes, project cost, planning risk, decision time and stakeholder concerns",learning,mixed evidence set,Current baseline to be confirmed before launch,Better design decisions without material planning delay,Design Director,"baseline, midpoint and final review","Operational data, stakeholder feedback and prototype evidence log"
urbanrise,UrbanRise Developments,urbanrise-pathway-1,Human outcome protected,outcome,guardrail status,No explicit guardrail tested,No material harm to affected stakeholders,Design Director,weekly during prototype,Participant feedback and issue log
cloudspring,CloudSpring Technologies,cloudspring-pathway-1,"Compute hours, storage, response time, cost, estimated energy and developer usability",learning,mixed evidence set,Current baseline to be confirmed before launch,Reduced avoidable compute with no product performance harm,Platform Engineering Lead,"baseline, midpoint and final review","Operational data, stakeholder feedback and prototype evidence log"
cloudspring,CloudSpring Technologies,cloudspring-pathway-1,Human outcome protected,outcome,guardrail status,No explicit guardrail tested,No material harm to affected stakeholders,Platform Engineering Lead,weekly during prototype,Participant feedback and issue log
loophome,LoopHome Circular Services,loophome-pathway-1,"Churn, product lifetime, transport journeys, satisfaction, profitability and estimated avoided manufacturing",learning,mixed evidence set,Current baseline to be confirmed before launch,Lower transport and replacement impact without unacceptable churn,Customer Operations Lead,"baseline, midpoint and final review","Operational data, stakeholder feedback and prototype evidence log"
loophome,LoopHome Circular Services,loophome-pathway-1,Human outcome protected,outcome,guardrail status,No explicit guardrail tested,No material harm to affected stakeholders,Customer Operations Lead,weekly during prototype,Participant feedback and issue log
citymotion,CityMotion Transit Authority,citymotion-pathway-1,"Emissions, reliability, operating cost, passenger satisfaction, accessibility, driver feedback and charging performance",learning,mixed evidence set,Current baseline to be confirmed before launch,Emissions reduction without reliability or accessibility decline,Fleet Transition Programme Lead,"baseline, midpoint and final review","Operational data, stakeholder feedback and prototype evidence log"
citymotion,CityMotion Transit Authority,citymotion-pathway-1,Human outcome protected,outcome,guardrail status,No explicit guardrail tested,No material harm to affected stakeholders,Fleet Transition Programme Lead,weekly during prototype,Participant feedback and issue log
medigen,Medigen Laboratories,medigen-pathway-1,"Solvent use, hazardous waste, experiment performance, cost, staff acceptance and safety incidents",learning,mixed evidence set,Current baseline to be confirmed before launch,Hazard reduction without research quality or safety failure,Laboratory Operations Lead,"baseline, midpoint and final review","Operational data, stakeholder feedback and prototype evidence log"
medigen,Medigen Laboratories,medigen-pathway-1,Human outcome protected,outcome,guardrail status,No explicit guardrail tested,No material harm to affected stakeholders,Laboratory Operations Lead,weekly during prototype,Participant feedback and issue log
